State,Year,Quater,District,Users
Andhra Pradesh,2022,1,spsr nellore district,1431664
Andhra Pradesh,2022,1,vizianagaram district,892889
Andhra Pradesh,2022,1,ysr district,1339782
Andhra Pradesh,2022,1,west godavari district,1626039
Andhra Pradesh,2022,1,chittoor district,2270705
Andhra Pradesh,2022,2,east godavari district,2564165
Andhra Pradesh,2022,2,srikakulam district,1086164
Andhra Pradesh,2022,2,visakhapatnam district,3226029
Andhra Pradesh,2022,2,prakasam district,1487589
Andhra Pradesh,2022,2,anantapur district,1928213
Andhra Pradesh,2022,2,kurnool district,1825280
Andhra Pradesh,2022,2,guntur district,2514794
Andhra Pradesh,2022,2,krishna district,2552107
Andhra Pradesh,2022,2,spsr nellore district,1509927
Andhra Pradesh,2022,2,vizianagaram district,943242
Andhra Pradesh,2022,2,ysr district,1412848
Andhra Pradesh,2022,2,west godavari district,1714357
Andhra Pradesh,2022,2,chittoor district,2392549
Andhra Pradesh,2022,3,east godavari district,2702234
Andhra Pradesh,2022,3,srikakulam district,1147016
Andhra Pradesh,2022,3,visakhapatnam district,3397514
Andhra Pradesh,2022,3,prakasam district,1567520
Andhra Pradesh,2022,3,anantapur district,2030824
Andhra Pradesh,2022,3,kurnool district,1924127
Andhra Pradesh,2022,3,guntur district,2647100
Andhra Pradesh,2022,3,krishna district,2685215
Andhra Pradesh,2022,3,spsr nellore district,1588875
Andhra Pradesh,2022,3,vizianagaram district,995141
Andhra Pradesh,2022,3,ysr district,1487140
Andhra Pradesh,2022,3,west godavari district,1805967
Andhra Pradesh,2022,3,chittoor district,2517657
Andhra Pradesh,2022,4,east godavari district,2835087
Andhra Pradesh,2022,4,srikakulam district,1204785
Andhra Pradesh,2022,4,visakhapatnam district,3566854
Andhra Pradesh,2022,4,prakasam district,1642503
Andhra Pradesh,2022,4,anantapur district,2128066
Andhra Pradesh,2022,4,kurnool district,2018290
Andhra Pradesh,2022,4,guntur district,2774365
Andhra Pradesh,2022,4,krishna district,2813645
Andhra Pradesh,2022,4,spsr nellore district,1663684
Andhra Pradesh,2022,4,vizianagaram district,1044490
Andhra Pradesh,2022,4,ysr district,1556901
Andhra Pradesh,2022,4,west godavari district,1893310
Andhra Pradesh,2022,4,chittoor district,2636036
Arunachal Pradesh,2018,1,lower subansiri district,498
Arunachal Pradesh,2018,1,tirap district,557
Arunachal Pradesh,2018,1,papum pare district,7649
Arunachal Pradesh,2018,1,anjaw district,278
Arunachal Pradesh,2018,1,lower siang district,270
Arunachal Pradesh,2018,1,dibang valley district,66
Arunachal Pradesh,2018,1,west kameng district,2202
Arunachal Pradesh,2018,1,shi yomi district,49
Arunachal Pradesh,2018,1,east kameng district,222
Arunachal Pradesh,2018,1,lohit district,1207
Arunachal Pradesh,2018,1,lepa rada district,210
Arunachal Pradesh,2018,1,lower dibang valley district,601
Arunachal Pradesh,2018,1,longding district,256
Arunachal Pradesh,2018,1,west siang district,846
Arunachal Pradesh,2018,1,kamle district,22
Arunachal Pradesh,2018,1,upper siang district,301
Arunachal Pradesh,2018,1,kurung kumey district,97
Arunachal Pradesh,2018,1,siang district,192
Arunachal Pradesh,2018,1,kra daadi district,88
Arunachal Pradesh,2018,1,changlang district,1208
Arunachal Pradesh,2018,1,pakke kessang district,39
Arunachal Pradesh,2018,1,east siang district,1803
Arunachal Pradesh,2018,1,upper subansiri district,572
Arunachal Pradesh,2018,1,tawang district,1525
Arunachal Pradesh,2018,1,namsai district,737
Arunachal Pradesh,2018,2,lower subansiri district,724
Arunachal Pradesh,2018,2,tirap district,856
Arunachal Pradesh,2018,2,papum pare district,11418
Arunachal Pradesh,2018,2,anjaw district,410
Arunachal Pradesh,2018,2,lower siang district,494
Arunachal Pradesh,2018,2,dibang valley district,112
Arunachal Pradesh,2018,2,west kameng district,3442
Arunachal Pradesh,2018,2,shi yomi district,80
Arunachal Pradesh,2018,2,east kameng district,343
Arunachal Pradesh,2018,2,lohit district,1898
Arunachal Pradesh,2018,2,lepa rada district,318
Arunachal Pradesh,2018,2,lower dibang valley district,893
Arunachal Pradesh,2018,2,longding district,412
Arunachal Pradesh,2018,2,west siang district,1224
Arunachal Pradesh,2018,2,kamle district,37
Arunachal Pradesh,2018,2,upper siang district,481
Arunachal Pradesh,2018,2,kurung kumey district,153
Arunachal Pradesh,2018,2,siang district,293
Arunachal Pradesh,2018,2,kra daadi district,144
Arunachal Pradesh,2018,2,changlang district,2014
Arunachal Pradesh,2018,2,pakke kessang district,66
Arunachal Pradesh,2018,2,east siang district,2646
Arunachal Pradesh,2018,2,upper subansiri district,883
Arunachal Pradesh,2018,2,tawang district,2266
Arunachal Pradesh,2018,2,namsai district,1276
Arunachal Pradesh,2018,3,lower subansiri district,1033
Arunachal Pradesh,2018,3,tirap district,1226
Arunachal Pradesh,2018,3,papum pare district,16009
Arunachal Pradesh,2018,3,anjaw district,542
Arunachal Pradesh,2018,3,lower siang district,717
Arunachal Pradesh,2018,3,dibang valley district,145
Arunachal Pradesh,2018,3,west kameng district,4765
Arunachal Pradesh,2018,3,shi yomi district,118
Arunachal Pradesh,2018,3,east kameng district,521
Arunachal Pradesh,2018,3,lohit district,2612
Arunachal Pradesh,2018,3,lepa rada district,431
Arunachal Pradesh,2018,3,lower dibang valley district,1286
Arunachal Pradesh,2018,3,longding district,644
Arunachal Pradesh,2018,3,west siang district,1652
Arunachal Pradesh,2018,3,kamle district,65
Arunachal Pradesh,2018,3,upper siang district,646
Arunachal Pradesh,2018,3,kurung kumey district,222
Arunachal Pradesh,2018,3,siang district,373
Arunachal Pradesh,2018,3,kra daadi district,190
Arunachal Pradesh,2018,3,changlang district,2889
Arunachal Pradesh,2018,3,pakke kessang district,103
Arunachal Pradesh,2018,3,east siang district,3590
Arunachal Pradesh,2018,3,upper subansiri district,1169
Arunachal Pradesh,2018,3,tawang district,3112
Arunachal Pradesh,2018,3,namsai district,1862
Arunachal Pradesh,2018,4,lower subansiri district,1459
Arunachal Pradesh,2018,4,tirap district,1684
Arunachal Pradesh,2018,4,papum pare district,21342
Arunachal Pradesh,2018,4,anjaw district,744
Arunachal Pradesh,2018,4,lower siang district,936
Arunachal Pradesh,2018,4,dibang valley district,178
Arunachal Pradesh,2018,4,west kameng district,6492
Arunachal Pradesh,2018,4,shi yomi district,144
Arunachal Pradesh,2018,4,east kameng district,691
Arunachal Pradesh,2018,4,lohit district,3588
Arunachal Pradesh,2018,4,lepa rada district,548
Arunachal Pradesh,2018,4,lower dibang valley district,1827
Arunachal Pradesh,2018,4,longding district,923
Arunachal Pradesh,2018,4,west siang district,2117
Arunachal Pradesh,2018,4,kamle district,109
Arunachal Pradesh,2018,4,upper siang district,868
Arunachal Pradesh,2018,4,kurung kumey district,321
